Reservoir,Cost
Beardsley Reservoir,-70
Donnells Reservoir,-70
New Spicer Meadow Reservoir,-700
Pinecrest Reservoir,-100
Relief Reservoir,-80
Lake Tulloch,-25
Lyons Reservoir,-37
New Melones Lake,-30
Union-Utica Reservoir,-2000
Hunter Reservoir,-60
