Month,Day,Critical,Dry,Below Normal,Above Normal,Wet
1,1,0.007263794,0.001223449,0,0,0.001637674
1,2,0.004888554,0.000611725,0,0,0.002675859
1,3,0.003483335,2.04E-05,0,0,0.00173555
1,4,0.003478092,0,0,0,0.001529312
1,5,0.003549751,0,0,0.007340697,0.001372011
1,6,0.003233402,0,0,0.012234494,0.001242675
1,7,0.002455638,8.97E-05,0,0.004893798,0.001331812
1,8,0.001940041,0.000126423,0,6.85E-05,0.001232188
1,9,0.001607962,0.000236534,0,4.89E-06,0.001298604
1,10,0.001190242,4.08E-06,0,0,0.001665639
1,11,0.001008472,0,0,0.000352353,0.001113339
1,12,0.000982255,0,0,4.89E-05,0.001403471
1,13,6.64E-05,0,0,0,0.001218206
1,14,5.77E-05,0.000138658,0,0.000122345,0.000880884
1,15,4.72E-05,0.000138658,0,0.000210433,0.002169001
1,16,0.001447166,0.000138658,0,4.89E-06,0.001961015
1,17,0.004469086,0.000138658,0,3.43E-05,0.001237432
1,18,0.009983347,0.000138658,0,4.40E-05,0.000956038
1,19,0.032169729,0.000138658,0,0,0.001387741
1,20,0.037011094,0.000138658,0,0,0.00058376
1,21,0.047218158,0.000138658,0,0,0.000498119
1,22,0.04809205,0.000142736,0,0,0.000429955
1,23,0.04422595,0.000220221,0,0,8.39E-05
1,24,0.034660323,0.000183517,0,0,0.000625707
1,25,0.029217721,0.000187596,0,0,0.002102585
1,26,0.039347882,0.000183517,0,0,0.001244423
1,27,0.037769632,8.16E-05,0,0,0.0020519
1,28,0.011727637,2.85E-05,0,0,0.000487632
1,29,0.044987984,0.000309941,0,0,0.000304115
1,30,0.056310135,3.67E-05,0,0,0.000216725
1,31,0.061207428,0,0,0,0.000277898
2,1,0.063227867,0,0,0,0.000265663
2,2,0.063899017,0,0,0,0.000597742
2,3,0.065078772,0,0,0,0.002142784
2,4,0.064965166,0.000183517,0,0,0.001300352
2,5,0.040291686,0.000183517,0,0,0.000512101
2,6,0.011710159,0.000183517,0,0,0.000648428
2,7,0.01433708,0.000212065,0,0,0.001662143
2,8,0.014815973,0.000330331,0,0,0.00194878
2,9,0.013242966,0.000248768,0,0,0.001784488
2,10,0.012666197,0.000224299,0,0,0.000508605
2,11,0.00906576,0.000216143,0,0,0.000340818
2,12,0.003560238,0.00019983,0,0,0.000300619
2,13,0.002254643,0.00019983,0,3.43E-05,0.000284889
2,14,0.003058624,0.00019983,0,0.000117451,0.000344314
2,15,0.003215924,0.00019983,0,4.89E-05,0.000407234
2,16,0.003284088,0.00019983,0,0.000190858,0.001819444
2,17,0.002938026,0.00019983,0,0.000190858,0.002371744
2,18,0.00292754,0.00019983,0,0.00014192,0.002476611
2,19,0.002263381,0.00019983,0,0.000127239,0.0011046
2,20,0.001794975,0.00019983,0,0.000171283,0.000730574
2,21,0.000538318,0.00019983,0,0.000518743,0.001092366
2,22,4.37E-05,0.00019983,0,0.000264265,0.000550552
2,23,3.67E-05,0.00019983,0,0.000122345,0.000325088
2,24,3.67E-05,0.00019983,0,2.45E-05,0.000220221
