metric,dry,moderate,wet
DS_Dur_WS,172,172,160
DS_Tim,281,296,322
DS_Mag_50,46,53,71
DS_Mag_90,301,466,440
FA_Dur,3,2,4
FA_Mag,317,749,661
FA_Tim,9,18,18
SP_ROC,0.102,0.105,0.088
SP_Dur,50,54,67
SP_Mag,3660,6977,11161
SP_Tim,224,241,251
Wet_BFL_Dur,114,125,176
Wet_BFL_Mag_10,338,779,1527
Wet_BFL_Mag_50,1181,2474,3698
Wet_Tim,114,117,75
Peak_Tim_10,-1,122,88
Peak_Tim_2,115,121,176
Peak_Tim_5,-1,115,98
Peak_Dur_10,-1,1,2
Peak_Dur_2,1,1,5
Peak_Dur_5,-1,1,3
Peak_10,38134,38134,38134
Peak_2,12591,12591,12591
Peak_5,21267,21267,21267
Peak_Fre_10,-1,1,1
Peak_Fre_2,1,1,2
Peak_Fre_5,-1,1,2
