"Date","USGS 11292000 MF STANISLAUS R AT KENNEDY MDWS NR DARDANELLE CA","USGS 11292500 CLARK FORK STANISLAUS R NR DARDANELLE CA","USGS 11292610 DONNELL PH NR STRAWBERRY CA","USGS 11292700 MF STANISLAUS R A HELLS HALF ACRE BRIDGE CA","USGS 11292820 BEARDSLEY PH NR STRAWBERRY CA","USGS 11292860 JW SOUTHERN PP A SND BAR DIV DAM NR LNG BRN CA","USGS 11292900 MF STANISLAUS R BL BEARDSLEY DAM CA","USGS 11293200 MF STANISLAUS R BL SND BAR DIV DAM NR AVERY CA","USGS 11293372 NF STANISLAUS R BL UTICA RES NR BEAR VALLEY CA","USGS 11293500 NF STANISLAUS R BL SILVER C CA","USGS 11293580 NF STANISLAUS R DIV TUNNEL NR BIG MDW CA","USGS 11293600 NF STANISLAUS R BL DIV D","USGS 11293700 HOBART C AT NF DIV TUNNL OUTLT NR SPICER MDWS CA","USGS 11293710 NF STANISLAUS DIV TU OL BL HOBART C NR NSMD CA","USGS 11293760 NEW SPICER MDW DAM PP A NSMD NR B MDW CA","USGS 11294000 HIGHLAND C BL SPICER MEADOWS RES CA","USGS 11294500 NF STANISLAUS R NR AVERY CA","USGS 11295210 BEAVER C DIV TO MCKAYS POINT RES NR ARNOLD CA","USGS 11295230 BEAVER CR BL DIV DAM NR ARNOLD CA","USGS 11295250 COLLIERVILLE PP NR MURPHYS CA","USGS 11295270 NF STANISLAUS R BL MCKAYS POINT DAM NR AVERY CA","USGS 11295300 NF STANISLAUS R BL BEAVER C NR HATHAWAY PINES CA","USGS 11295340 MILL C BL HUNTER RES A HATHAWAY PINES CA","USGS 11295505 STANISLAUS PP NR HATHAWAY PINES CA","USGS 11296500 SF STANISLAUS R A STRAWBERRY CA","USGS 11297000 PHILADELPHIA CN NR STRAWBERRY CA","USGS 11297200 SF STANISLAUS R NR STRAWBERRY CA","USGS 11297500 TUOLUMNE CN NR LONG BARN CA","USGS 11298000 SF STANISLAUS R NR LONG BARN CA","USGS 11298650 ANGELS C BL MURPHYS AFTERBAY NR MURPHYS CA","USGS 11298700 ANGELS C BL UTICA D DIV DAM NR MURPHYS CA","USGS 11300500 S SAN JOAQUIN CN NR KNIGHTS FERRY CA","USGS 11301000 OAKDALE CN NR KNIGHTS FERRY CA","USGS 11302000 STANISLAUS R BL GOODWIN DAM NR KNIGHTS FERRY CA","USGS 11292615 MF STANISLAUS R LOW FLOW REL BL DONNELL LAKE","USGS 11299200 NEW MELONES PP BL NEW MELONES DAM NR SONORA CA","USGS 11299996 TULLOCH PH NR KNIGHTS FERRY CA"
1975-10-18,76,51,NA,52,475,NA,459,24,NA,19,NA,NA,NA,NA,NA,44,93,NA,NA,NA,NA,NA,NA,NA,114,61,51,0,2.6,NA,NA,4.4,5,1010,NA,456,339
1975-10-19,74,47,NA,51,474,NA,464,25,NA,19,NA,NA,NA,NA,NA,43,89,NA,NA,NA,NA,NA,NA,NA,113,61,50,11,2.5,NA,NA,4.4,5,1000,NA,456,339
1975-10-20,72,47,NA,51,435,NA,465,25,NA,20,NA,NA,NA,NA,NA,43,86,NA,NA,NA,NA,NA,NA,NA,112,61,49,36,2,NA,NA,3.6,5.5,1460,NA,498,340
1975-10-21,72,46,NA,51,440,NA,456,25,NA,22,NA,NA,NA,NA,NA,41,84,NA,NA,NA,NA,NA,NA,NA,85,60,29,36,2.4,NA,NA,1.4,5.5,1530,NA,519,343
1975-10-22,73,52,NA,51,473,NA,460,27,NA,22,NA,NA,NA,NA,NA,41,86,NA,NA,NA,NA,NA,NA,NA,70,60,12,35,2.4,NA,NA,0.7,5.5,1520,NA,477,339
1975-10-23,71,45,NA,51,546,NA,464,27,NA,22,NA,NA,NA,NA,NA,40,85,NA,NA,NA,NA,NA,NA,NA,69,60,12,35,2.5,NA,NA,0.8,5.5,1480,NA,604,338
1975-10-24,68,42,NA,51,450,NA,463,26,NA,31,NA,NA,NA,NA,NA,24,85,NA,NA,NA,NA,NA,NA,NA,67,60,9.4,33,2.4,NA,NA,5.6,5.5,1440,NA,435,338
1975-10-25,76,43,NA,52,453,NA,462,26,NA,52,NA,NA,NA,NA,NA,4.2,83,NA,NA,NA,NA,NA,NA,NA,66,60,8.8,31,2.3,NA,NA,11,5.5,1400,NA,435,337
1975-10-26,123,181,NA,137,467,NA,464,28,NA,168,NA,NA,NA,NA,NA,4.8,383,NA,NA,NA,NA,NA,NA,NA,184,61,NA,30,2.4,NA,NA,15,5.5,1380,NA,456,340
1975-10-27,121,120,NA,156,472,NA,465,28,NA,91,NA,NA,NA,NA,NA,5.4,499,NA,NA,NA,NA,NA,NA,NA,135,56,NA,31,2.4,NA,NA,16,5.5,1340,NA,435,416
1975-10-28,106,80,NA,89,443,NA,465,26,NA,46,NA,NA,NA,NA,NA,37,197,NA,NA,NA,NA,NA,NA,NA,88,59,34,32,2.2,NA,NA,16,6,1320,NA,498,435
1975-10-29,100,71,NA,75,425,NA,461,25,NA,16,NA,NA,NA,NA,NA,89,160,NA,NA,NA,NA,NA,NA,NA,77,58,24,32,2.2,NA,NA,16,6,1300,NA,540,412
1975-10-30,99,67,NA,91,448,NA,466,26,NA,16,NA,NA,NA,NA,NA,108,228,NA,NA,NA,NA,NA,NA,NA,86,59,31,32,2.4,NA,NA,16,6,1290,NA,435,412
1975-10-31,96,67,NA,84,429,NA,464,27,NA,22,NA,NA,NA,NA,NA,105,236,NA,NA,NA,NA,NA,NA,NA,180,62,NA,31,2.3,NA,NA,15,5.5,1280,NA,415,429
1975-11-01,70,68,NA,81,457,NA,466,23,NA,30,NA,NA,NA,NA,NA,103,237,NA,NA,NA,NA,NA,NA,NA,250,61,NA,31,2.2,NA,NA,10,5.5,1280,NA,456,416
1975-11-02,34,71,NA,84,498,NA,462,25,NA,27,NA,NA,NA,NA,NA,100,247,NA,NA,NA,NA,NA,NA,NA,249,61,NA,32,2.2,NA,NA,7.1,6,1260,NA,477,419
1975-11-03,34,72,NA,81,472,NA,148,29,NA,22,NA,NA,NA,NA,NA,69,225,NA,NA,NA,NA,NA,NA,NA,247,61,NA,32,2.2,NA,NA,6.2,6,1240,NA,374,429
1975-11-04,34,72,NA,76,0,NA,38,37,NA,18,NA,NA,NA,NA,NA,48,153,NA,NA,NA,NA,NA,NA,NA,171,60,NA,32,2.2,NA,NA,4.2,6,1260,NA,0,426
1975-11-05,33,71,NA,54,0,NA,29,36,NA,16,NA,NA,NA,NA,NA,68,135,NA,NA,NA,NA,NA,NA,NA,70,60,13,30,2.2,NA,NA,3.4,6,1260,NA,0,423
1975-11-06,31,67,NA,51,0,NA,24,36,NA,14,NA,NA,NA,NA,NA,92,165,NA,NA,NA,NA,NA,NA,NA,60,59,4,29,2.2,NA,NA,3.2,6,1230,NA,0,419
1975-11-07,32,91,NA,51,0,NA,14,36,NA,24,NA,NA,NA,NA,NA,90,173,NA,NA,NA,NA,NA,NA,NA,64,60,7,30,2.2,NA,NA,3,6,1190,NA,0,417
1975-11-08,36,99,NA,61,88,NA,21,36,NA,27,NA,NA,NA,NA,NA,93,242,NA,NA,NA,NA,NA,NA,NA,78,62,19,31,2.2,NA,NA,3,5.5,888,NA,0,417
1975-11-09,31,74,NA,52,0,NA,21,36,NA,16,NA,NA,NA,NA,NA,91,196,NA,NA,NA,NA,NA,NA,NA,65,61,7,30,2.2,NA,NA,2.8,5,69,NA,0,406
1975-11-10,31,69,NA,58,0,NA,24,36,NA,17,NA,NA,NA,NA,NA,90,204,NA,NA,NA,NA,NA,NA,NA,63,60,6,31,2.2,NA,NA,2.6,3.8,65,NA,0,408
1975-11-11,29,72,NA,53,54,NA,27,39,NA,25,NA,NA,NA,NA,NA,39,186,NA,NA,NA,NA,NA,NA,NA,64,60,7,31,2.1,NA,NA,2.2,2.6,58,NA,0,408
1975-11-12,29,72,NA,53,0,NA,25,40,NA,38,NA,NA,NA,NA,NA,2.4,124,NA,NA,NA,NA,NA,NA,NA,63,60,6,31,2,NA,NA,1.2,1.5,52,NA,0,408
