WY,WYT
1950,3
1951,5
1952,5
1953,3
1954,3
1955,2
1956,5
1957,3
1958,5
1959,2
1960,2
1961,1
1962,3
1963,4
1964,2
1965,5
1966,3
1967,5
1968,2
1969,5
1970,4
1971,3
1972,2
1973,4
1974,4
1975,4
1976,1
1977,1
1978,5
1979,4
1980,5
1981,2
1982,5
1983,5
1984,5
1985,3
1986,5
1987,1
1988,1
1989,3
1990,2
1991,2
1992,2
1993,5
1994,2
1995,5
1996,4
1997,5
1998,5
1999,4
2000,4
2001,2
2002,3
2003,3
2004,2
2005,5
2006,5
2007,2
2008,2
2009,3
2010,3
2011,5
2012,2
2013,1
2014,1
