WY,flow
1950,1526.9813383649841
1951,3430.807294477285
1952,3706.5869505490173
1953,1568.3495874507983
1954,2144.8977913060367
1955,1723.5240988586231
1956,3955.8005739633004
1957,1538.188054884515
1958,3373.161368660792
1959,1425.420908240458
1960,1096.994362682705
1961,879.0306258521399
1962,2414.144323232572
1963,2368.847105447752
1964,1165.4195675429676
1965,2563.4867222102393
1966,1365.0439809471816
1967,3092.4802451170767
1968,895.950306967679
1969,4241.634804440016
1970,1789.314960090449
1971,1213.983139551926
1972,814.8596844117211
1973,1855.8748169203686
1974,1997.0088928015111
1975,2088.737974866453
1976,907.4786395938479
1977,641.6944217429055
1978,4034.0542555018674
1979,2439.5324604236102
1980,3502.550627886959
1981,1458.1579380950732
1982,4206.872856963412
1983,5221.629784876164
1984,2536.079363047887
1985,1456.8881810195646
1986,3462.8598391978244
1987,907.3439158656267
1988,1272.324031732699
1989,1286.0423793591196
1990,1152.9138284467936
1991,1639.9529808028813
1992,1088.2478226130954
1993,3354.6149180423527
1994,1031.6199739094916
1995,4455.703718685065
1996,2734.3611582711133
1997,3628.768635618244
1998,3458.910637823295
1999,1974.9929273475332
2000,2022.831441503691
2001,1794.3652248396609
2002,1652.5652598381803
2003,2013.7175393764567
2004,1264.7245160141215
2005,3843.9255045139525
2006,4095.1896892746186
2007,1068.8117540284404
2008,1410.4840500963448
2009,1819.4539677759524
2010,2239.9645281841276
2011,3838.2652305894208
2012,1455.0488500735205
2013,1136.9747324777309
2014,47.99645066700502
