year,flow
1950,1024152.4189522747
1951,1482518.5807960692
1952,2355071.2562085954
1953,961941.6441729745
1954,1283295.451310409
1955,1099419.8952086063
1956,2017340.1099018045
1957,932599.4282573808
1958,2180971.070957183
1959,701483.8052735487
1960,658938.2207396522
1961,501152.7621056754
1962,1534719.0553201006
1963,1343294.4146372755
1964,671191.5555408607
1965,1450830.186439388
1966,771199.1739378781
1967,1909854.2368892324
1968,489421.80008320493
1969,2548062.3735286538
1970,922897.2720866366
1971,721513.5155070169
1972,419731.35621027526
1973,1227770.8529644867
1974,1162122.6608346913
1975,1298584.835753778
1976,379684.7439701622
1977,295561.55851328064
1978,2203956.3041999196
1979,1572972.0184734925
1980,1859724.0560371685
1981,906761.3026639814
1982,2479462.867826385
1983,2532312.3442832013
1984,1232819.42595607
1985,923579.5265995807
1986,1685818.6457232335
1987,510117.335185241
1988,659613.6562765472
1989,781791.8011160964
1990,607209.8609476285
1991,1061092.02827423
1992,612677.1387734511
1993,1972680.478749874
1994,594363.998218419
1995,2403414.2056309576
1996,1639637.321615766
1997,1589227.2029075534
1998,2003342.186999986
1999,1242744.3384315814
2000,1095108.320485972
2001,1194047.4617597999
2002,989757.6009067807
2003,1191267.5083611598
2004,674171.2199344607
2005,2360930.7787647364
2006,2726749.6100940267
2007,622361.1243914067
2008,921083.3036404368
2009,1117843.85634281
2010,1444686.2974667386
2011,2246300.366358545
2012,822368.9358260622
2013,700824.1726977346
