Date,Rainflood space,Conditional space
1-1,431.7,431.7
1-2,431.7,431.7
1-3,431.7,431.7
1-4,431.7,431.7
1-5,431.7,431.7
1-6,431.7,431.7
1-7,431.7,431.7
1-8,431.7,431.7
1-9,431.7,431.7
1-10,431.7,431.7
1-11,431.7,431.7
1-12,431.7,431.7
1-13,431.7,431.7
1-14,431.7,431.7
1-15,431.7,431.7
1-16,431.7,431.7
1-17,431.7,431.7
1-18,431.7,431.7
1-19,431.7,431.7
1-20,431.7,431.7
1-21,431.7,431.7
1-22,431.7,431.7
1-23,431.7,431.7
1-24,431.7,431.7
1-25,431.7,431.7
1-26,431.7,431.7
1-27,431.7,431.7
1-28,431.7,431.7
1-29,431.7,431.7
1-30,431.7,431.7
1-31,431.7,431.7
2-1,431.7,0.0
2-2,435.3,0.0
2-3,438.9,0.0
2-4,442.5,0.0
2-5,446.1,0.0
2-6,449.7,0.0
2-7,453.3,0.0
2-8,456.9,0.0
2-9,460.5,0.0
2-10,464.1,0.0
2-11,467.7,0.0
2-12,471.3,0.0
2-13,474.9,0.0
2-14,478.5,0.0
2-15,482.1,0.0
2-16,485.7,0.0
2-17,489.3,0.0
2-18,492.9,0.0
2-19,496.5,0.0
2-20,500.1,0.0
2-21,503.7,0.0
2-22,507.3,0.0
2-23,510.9,0.0
2-24,514.5,0.0
2-25,518.1,0.0
2-26,521.7,0.0
2-27,525.3,0.0
2-28,528.9,0.0
2-29,532.5,0.0
3-1,536.1,0.0
3-2,539.7,0.0
3-3,543.3,0.0
3-4,546.9,0.0
3-5,550.5,0.0
3-6,554.1,0.0
3-7,557.7,0.0
3-8,561.3,0.0
3-9,564.9,0.0
3-10,568.5,0.0
3-11,572.1,0.0
3-12,575.7,0.0
3-13,579.3,0.0
3-14,582.9,0.0
3-15,586.5,0.0
3-16,590.1,0.0
3-17,593.7,0.0
3-18,597.3,0.0
3-19,600.9,0.0
3-20,604.5,0.0
3-21,608.1,0.0
3-22,611.7,0.0
3-23,615.3,0.0
3-24,618.9,0.0
3-25,622.5,0.0
3-26,626.1,0.0
3-27,629.7,0.0
3-28,633.3,0.0
3-29,636.9,0.0
3-30,640.5,0.0
3-31,641.4,0.0
4-1,641.4,0.0
4-2,641.4,0.0
4-3,641.4,0.0
4-4,641.4,0.0
4-5,641.4,0.0
4-6,641.4,0.0
4-7,641.4,0.0
4-8,641.4,0.0
4-9,641.4,0.0
4-10,641.4,0.0
4-11,641.4,0.0
4-12,641.4,0.0
4-13,641.4,0.0
4-14,641.4,0.0
4-15,641.4,0.0
4-16,641.4,0.0
4-17,641.4,0.0
4-18,641.4,0.0
4-19,641.4,0.0
4-20,641.4,0.0
4-21,641.4,0.0
4-22,641.4,0.0
4-23,641.4,0.0
4-24,641.4,0.0
4-25,641.4,0.0
4-26,641.4,0.0
4-27,641.4,0.0
4-28,641.4,0.0
4-29,641.4,0.0
4-30,641.4,0.0
5-1,641.4,0.0
5-2,641.4,0.0
5-3,641.4,0.0
5-4,641.4,0.0
5-5,641.4,0.0
5-6,641.4,0.0
5-7,641.4,0.0
5-8,641.4,0.0
5-9,641.4,0.0
5-10,641.4,0.0
5-11,641.4,0.0
5-12,641.4,0.0
5-13,641.4,0.0
5-14,641.4,0.0
5-15,641.4,0.0
5-16,641.4,0.0
5-17,641.4,0.0
5-18,641.4,0.0
5-19,641.4,0.0
5-20,641.4,0.0
5-21,641.4,0.0
5-22,641.4,0.0
5-23,641.4,0.0
5-24,641.4,0.0
5-25,641.4,0.0
5-26,641.4,0.0
5-27,641.4,0.0
5-28,641.4,0.0
5-29,641.4,0.0
5-30,641.4,0.0
5-31,641.4,0.0
6-1,641.4,0.0
6-2,641.4,0.0
6-3,641.4,0.0
6-4,641.4,0.0
6-5,641.4,0.0
6-6,641.4,0.0
6-7,641.4,0.0
6-8,641.4,0.0
6-9,641.4,0.0
6-10,641.4,0.0
6-11,641.4,0.0
6-12,641.4,0.0
6-13,641.4,0.0
6-14,641.4,0.0
6-15,641.4,0.0
6-16,641.4,0.0
6-17,641.4,0.0
6-18,641.4,0.0
6-19,641.4,0.0
6-20,641.4,0.0
6-21,641.4,0.0
6-22,641.4,0.0
6-23,641.4,0.0
6-24,641.4,0.0
6-25,641.4,0.0
6-26,641.4,0.0
6-27,641.4,0.0
6-28,641.4,0.0
6-29,641.4,0.0
6-30,641.4,0.0
7-1,641.4,166.5
7-2,641.4,181.8
7-3,641.4,197.2
7-4,641.4,212.5
7-5,641.4,227.8
7-6,641.4,243.1
7-7,641.4,258.4
7-8,641.4,273.8
7-9,641.4,289.1
7-10,641.4,304.4
7-11,641.4,319.7
7-12,641.4,335.0
7-13,641.4,350.4
7-14,641.4,365.7
7-15,641.4,381.0
7-16,641.4,396.3
7-17,641.4,411.6
7-18,641.4,427.0
7-19,641.4,442.3
7-20,641.4,457.6
7-21,641.4,472.9
7-22,641.4,488.2
7-23,641.4,503.5
7-24,641.4,518.9
7-25,641.4,534.2
7-26,641.4,549.5
7-27,641.4,564.8
7-28,641.4,580.1
7-29,641.4,595.5
7-30,641.4,610.8
7-31,641.4,626.1
8-1,641.4,641.4
8-2,641.4,641.4
8-3,641.4,641.4
8-4,641.4,641.4
8-5,641.4,641.4
8-6,641.4,641.4
8-7,641.4,641.4
8-8,641.4,641.4
8-9,641.4,641.4
8-10,641.4,641.4
8-11,641.4,641.4
8-12,641.4,641.4
8-13,641.4,641.4
8-14,641.4,641.4
8-15,641.4,641.4
8-16,641.4,641.4
8-17,641.4,641.4
8-18,641.4,641.4
8-19,641.4,641.4
8-20,641.4,641.4
8-21,641.4,641.4
8-22,641.4,641.4
8-23,641.4,641.4
8-24,641.4,641.4
8-25,641.4,641.4
8-26,641.4,641.4
8-27,641.4,641.4
8-28,641.4,641.4
8-29,641.4,641.4
8-30,641.4,641.4
8-31,641.4,641.4
9-1,641.4,641.4
9-2,641.4,641.4
9-3,641.4,641.4
9-4,641.4,641.4
9-5,641.4,641.4
9-6,641.4,641.4
9-7,641.4,641.4
9-8,641.4,641.4
9-9,641.4,641.4
9-10,641.4,641.4
9-11,641.4,641.4
9-12,641.4,641.4
9-13,641.4,641.4
9-14,641.4,641.4
9-15,641.4,641.4
9-16,641.4,641.4
9-17,641.4,641.4
9-18,641.4,641.4
9-19,641.4,641.4
9-20,641.4,641.4
9-21,641.4,641.4
9-22,641.4,641.4
9-23,641.4,641.4
9-24,641.4,641.4
9-25,641.4,641.4
9-26,641.4,641.4
9-27,641.4,641.4
9-28,641.4,641.4
9-29,641.4,641.4
9-30,641.4,641.4
10-1,634.7,634.7
10-2,627.9,627.9
10-3,621.1,621.1
10-4,614.4,614.4
10-5,607.6,607.6
10-6,600.8,600.8
10-7,594.1,594.1
10-8,587.3,587.3
10-9,580.5,580.5
10-10,573.8,573.8
10-11,567.0,567.0
10-12,560.2,560.2
10-13,553.5,553.5
10-14,546.7,546.7
10-15,540.0,540.0
10-16,533.2,533.2
10-17,526.4,526.4
10-18,519.7,519.7
10-19,512.9,512.9
10-20,506.1,506.1
10-21,499.4,499.4
10-22,492.6,492.6
10-23,485.8,485.8
10-24,479.1,479.1
10-25,472.3,472.3
10-26,465.5,465.5
10-27,458.8,458.8
10-28,452.0,452.0
10-29,445.3,445.3
10-30,438.5,438.5
10-31,431.7,431.7
11-1,431.7,431.7
11-2,431.7,431.7
11-3,431.7,431.7
11-4,431.7,431.7
11-5,431.7,431.7
11-6,431.7,431.7
11-7,431.7,431.7
11-8,431.7,431.7
11-9,431.7,431.7
11-10,431.7,431.7
11-11,431.7,431.7
11-12,431.7,431.7
11-13,431.7,431.7
11-14,431.7,431.7
11-15,431.7,431.7
11-16,431.7,431.7
11-17,431.7,431.7
11-18,431.7,431.7
11-19,431.7,431.7
11-20,431.7,431.7
11-21,431.7,431.7
11-22,431.7,431.7
11-23,431.7,431.7
11-24,431.7,431.7
11-25,431.7,431.7
11-26,431.7,431.7
11-27,431.7,431.7
11-28,431.7,431.7
11-29,431.7,431.7
11-30,431.7,431.7
12-1,431.7,431.7
12-2,431.7,431.7
12-3,431.7,431.7
12-4,431.7,431.7
12-5,431.7,431.7
12-6,431.7,431.7
12-7,431.7,431.7
12-8,431.7,431.7
12-9,431.7,431.7
12-10,431.7,431.7
12-11,431.7,431.7
12-12,431.7,431.7
12-13,431.7,431.7
12-14,431.7,431.7
12-15,431.7,431.7
12-16,431.7,431.7
12-17,431.7,431.7
12-18,431.7,431.7
12-19,431.7,431.7
12-20,431.7,431.7
12-21,431.7,431.7
12-22,431.7,431.7
12-23,431.7,431.7
12-24,431.7,431.7
12-25,431.7,431.7
12-26,431.7,431.7
12-27,431.7,431.7
12-28,431.7,431.7
12-29,431.7,431.7
12-30,431.7,431.7
12-31,431.7,431.7
