Water Year Type,Very Critical,Critically Dry,Dry,Below Normal,Above Normal,Wet
Lower Bound,1000000,1400000,1725000,2178000,2387000,2762000
Upper Bound,1399999,1724999,2177999,2386999,2761999,NA
