Start,Critically Dry,Dry,Normal-Dry,Normal-Wet,Wet
0,15,5,5,5,5
7,75,10,10,10,10
14,250,25,25,25,25
21,150,35,35,35,35
28,100,75,75,75,75
35,40,140,140,140,140
42,20,220,220,220,220
49,0,400,400,400,400
56,0,180,180,180,180
63,0,110,110,110,110
70,0,65,65,65,65
77,0,25,25,25,25
84,0,10,10,10,10
